index,number,word,meaning,type
588,588,extraordinary,並はずれた；異常な，驚くべき,main
589,589,stable,安定した（⇔ unstable 不安定な）；動じない,main
590,590,flexible,融通の利く，柔軟な,main
591,591,brief,簡潔な；短い,main
592,592,aggressive,攻撃的な；意欲的な,main
593,593,visible,（目に）見える（⇔ invisible 見えない）；明白な,main
594,594,unexpected,思いがけない，不意の,main
595,595,ethnic,民族の，人種の；民族特有の,main
596,596,alien,（～にとって）異質の（to）；外国の；宇宙人の,main
597,597,initial,初めの,main
598,598,exact,正確な；まさにその,main
599,599,precise,正確な（≒ exact）；精密な；まさにその,main
600,600,latter,後者の（⇔ former 前者の），後半の,main
601,601,commit,〔commit oneselfまたは受身形で〕献身する；（罪など）を犯す；を投入する,main
602,602,stimulate,を刺激する,main
603,603,enhance,（価値など）を高める，増す,main
604,604,pursue,を追求する；に従事する,main
605,605,react,反応する；化学反応を起こす,main
606,606,disagree,不賛成である；意見が食い違う,main
607,607,stare,じっと見る；を見つめる,main
608,608,abandon,を捨てる；を放棄する，断念する,main
609,609,quit,をやめる；（場所）を去る,main
610,610,capture,をとらえる；をとりこにする,main
611,611,transfer,を移す；を伝える；移る；乗り換える,main
612,612,bother,を悩ます；（～を）気にかける（about / with）,main
613,613,persuade,を説得する；に確信させる,main
614,614,rent,を賃借りする；を賃貸しする,main
615,615,breed,を繁殖させる，育てる；繁殖する,main
616,616,invest,（を）投資する；に（～を）与える（with）,main
617,617,reserve,を予約する；を取っておく；（判断など）を保留する,main
618,618,trace,（足跡・起源など）をたどる；を捜し出す,main
619,619,illustrate,を説明する；に挿絵を入れる,main
620,620,advise,に忠告［助言］する；（を）助言する,main
621,621,convey,を伝える；を運ぶ，運搬する,main
622,622,attach,を（取り）付ける；を付与する,main
623,623,stretch,を伸ばす；を広げる；伸びる；及ぶ,main
624,624,puzzle,を当惑させる,main
625,625,disturb,をかき乱す；を妨害する；を動揺させる,main
626,626,crash,衝突する，墜落する；をぶつけて壊す,main
627,627,cope,うまく処理する,main
628,628,permit,を許可する（≒ allow）（⇔ forbid ⇒ 1013）,main
629,629,impress,を感動させる；に印象を与える,main
630,630,suspect,ではないかと思う；（人）を疑う,main
631,631,upset,を動揺させる；をだめにする,main
632,632,frighten,（人）を怖がらせる,main
633,633,import,を輸入する（⇔ export （を）輸出する）；を取り込む,main
634,634,export,（を）輸出する（⇔ import を輸入する）,main
635,635,investigate,を調査する；を究明する；（～を）調査する（into）,main
636,636,monitor,を監視する；を傍受する,main
637,637,calculate,を計算する；を予測する,main
638,638,eliminate,を取り除く,main
639,639,ease,を軽減する；和らぐ；緩む,main
640,640,launch,を開始する；を売り出す；を発射する,main
641,641,sequence,連続；一連（のもの）,main
642,642,therapy,療法；心理療法,main
643,643,symptom,症状；兆候（≒ sign）,main
644,644,incident,出来事，事件；紛争,main
645,645,witness,目撃者（≒ eyewitness）；証人；証拠，証言,main
646,646,sum,（金）額；合計；要点,main
647,647,burden,負担；（重い）義務；積み荷,main
648,648,tone,口調；音色；雰囲気；色調,main
649,649,honor,光栄；名誉（⇔ dishonor 不名誉）；敬意,main
650,650,award,（～の）賞（for）；（証書などの）授与,main
651,651,priority,優先（事項）,main
652,652,logic,論理；道理；論理学,main
653,653,minimum,最小限度（⇔ maximum ⇒ 965）,main
654,654,exception,（～の）例外（to）,main
655,655,clue,（～の）手がかり（to / about）；（パズルの）ヒント,main
656,656,bond,絆；債券；束縛；接着剤,main
657,657,virus,ウイルス；（感染症の）病原体,main
658,658,surgery,（外科）手術；外科，外科医学,main
659,659,insurance,保険；保険料；保険金,main
660,660,frame,枠，（額）縁；骨組み；体格,main
661,661,shelter,避難（所），保護,main
662,662,territory,領土；（活動の）領域；（動物の）テリトリー,main
663,663,boundary,境界（線）；限界,main
664,664,habitat,生息地；（人の）居住地,main
665,665,district,地区；行政区,main
666,666,conservation,（動植物などの）保護；保存,main
667,667,harvest,収穫（物）；収穫期；漁獲高,main
668,668,predator,捕食動物；略奪者,main
669,669,trap,わな；苦境,main
670,670,trick,こつ；策略；いたずら；芸当,main
671,671,fault,〔通例one's ～〕責任；欠点；誤り,main
672,672,discount,割引,main
673,673,bias,偏見；傾向,main
674,674,cooperation,協力，共同,main
675,675,patent,特許（権）；特許品,main
676,676,dialogue,対話，会話；意見の交換,main
677,677,component,構成要素；部品,main
678,678,reputation,評判；名声,main
679,679,verbal,言葉の；口頭での；動詞の,main
680,680,internal,内部の（⇔ external ⇒ 989）；国内の；内面的な,main
681,681,solid,しっかりした；硬い；固体の,main
682,682,remote,（～から）遠く離れた（from）；かけ離れた,main
683,683,principal,主要な；資本金の,main
684,684,sophisticated,高性能の，精巧な；洗練された,main
685,685,equivalent,等しい，相当する,main
686,686,rational,理性的な；合理的な,main
687,687,relevant,関係がある；適切な,main
688,688,absolute,絶対的な（⇔ relative 相対的な）,main
689,689,frequent,頻繁な,main
690,690,permanent,永続的な（⇔ temporary ⇒ 793）,main
691,691,intense,強烈な；熱烈な,main
692,692,meaningful,意味のある,main
693,693,evil,邪悪な；有害な,main
694,694,extinct,絶滅した；廃止された,main
695,695,random,無作為の；手当たり次第の,main
696,696,raw,生の；未加工の,main
697,697,rude,無礼な（⇔ polite 礼儀正しい）；粗野な,main
698,698,mere,単なる，ほんの,main
699,699,tropical,熱帯の,main
700,700,forth,前へ，先へ；それ以降,main
701,701,possess,を所有している；の心をとらえる,main
702,702,dominate,を支配する；（～より）優勢である（over）,main
703,703,guarantee,を保証する,main
704,704,melt,溶ける；なごむ；を溶かす,main
705,705,embarrass,に恥ずかしい思いをさせる,main
706,706,discourage,（人）にやる気をなくさせる；を落胆させる（⇔ encourage ⇒ 30）,main
707,707,detect,を感知する；を見つけ出す；に気づく,main
708,708,devote,をささげる,main
709,709,urge,に（強く）促す；を強く主張する；を駆り立てる,main
710,710,lend,を貸す（⇔ borrow を借りる）；（人）に（助言・援助など）を与える,main
711,711,restrict,を制限する,main
712,712,isolate,を孤立させる,main
713,713,accompany,に同行する；に付随する,main
714,714,exhaust,を疲れ果てさせる；を使い尽くす；排気する,main
715,715,annoy,を悩ます；〔受身形で〕腹が立つ,main
716,716,endanger,を危険にさらす,main
717,717,acknowledge,（事実など）を認める（≒ admit ⇒ 406）；に謝意を表す,main
718,718,admire,に（～のことで）敬服［感心］する（for）,main
719,719,evaluate,を評価する；を査定する,main
720,720,declare,を宣言する；を申告する,main
721,721,secure,を確保する；を守る,main
722,722,specialize,専門とする；【英】（～を）専攻する（in）（≒ 【米】major）,main
723,723,attribute,（結果など）を（～に）帰する（to）,main
724,724,pretend,（の）ふりをする,main
725,725,bury,を埋める；を埋葬する；を隠す,main
726,726,reverse,を逆転させる；を反対にする,main
727,727,resist,に抵抗する；〔通例否定文で〕を我慢する,main
728,728,scare,をおびえさせる；を脅す,main
729,729,imitate,をまねる；を模造する,main
730,730,assist,（を）援助する；を手伝う,main
731,731,resemble,に似ている,main
732,732,retire,（～から）引退する，退職する（from）；退く,main
733,733,neglect,をおろそかにする，怠る；を無視する,main
734,734,collapse,崩壊する；（人が）倒れる；を折り畳む,main
735,735,reform,を改革する；を改心させる,main
736,736,protest,（に）抗議する；を主張する,main
737,737,owe,に借りがある；のおかげである,main
738,738,sustain,を持続させる；を支える,main
739,739,assign,を割り当てる；を（～に）配属する（to）,main
740,740,accomplish,を成し遂げる,main
741,741,wisdom,知恵；賢明さ；学識,main
742,742,literacy,読み書きの能力；（特定分野の）知識,main
743,743,heritage,遺産,main
744,744,mission,使命；（外交）使節団；布教,main
745,745,license,免許（証）；許可,main
746,746,elite,〔通例the ～〕〔集合的に〕エリート,main
747,747,layer,層,main
748,748,motor,モーター；原動力,main
749,749,protein,たんぱく質,main
750,750,profession,職業；専門職；同業者仲間,main
751,751,editor,編集者；編集長,main
752,752,agent,仲介者，代理人；薬剤,main
753,753,globe,地球（≒ earth）；世界；球,main
754,754,haven,避難所，保護区；港,main
755,755,row,列；（建物が並ぶ）通り,main
756,756,sacrifice,犠牲；いけにえ,main
757,757,means,〔単数・複数扱い〕手段；〔複数扱い〕資力，収入,main
758,758,session,集まり；（議会の）会期；（開会中の）議会,main
759,759,league,（競技）連盟；同盟,main
760,760,contest,コンテスト，競技（会）；争い,main
761,761,guard,警備員；警備隊；監視，警戒,main
762,762,opponent,（試合・論争などの）相手；反対者,main
763,763,glance,（～を）ちらっと見ること（at）,main
764,764,divorce,離婚；分離,main
765,765,tissue,（生物の）組織；ティッシュペーパー,main
766,766,liquid,液体,main
767,767,inequality,不平等；不公平な事柄,main
768,768,prejudice,（～に対する）偏見（against）（≒ bias）,main
769,769,justice,公正，正義；司法,main
770,770,guideline,指針，ガイドライン；指導基準,main
771,771,platform,プラットフォーム；演壇；舞台,main
772,772,sector,（社会・経済などの）部門，セクター；（都市内の）地域,main
773,773,channel,チャンネル；伝達経路；海峡,main
774,774,glacier,氷河,main
775,775,primate,霊長目の動物,main
776,776,usage,（使）用法；語法；習慣,main
777,777,fortune,財産；幸運（≒ luck）；運命,main
778,778,correlation,相互関係，相関（関係）,main
779,779,artistic,芸術的な,main
780,780,literary,文学の；文語の（⇔ colloquial 口語体の）,main
781,781,classic,第一級の；典型的な；定番の,main
782,782,liberal,自由主義の；寛大な；一般教養の,main
783,783,concrete,具体的な（⇔ abstract ⇒ 586）；有形の,main
784,784,slight,わずかな；取るに足らない,main
785,785,federal,連邦（政府）の,main
786,786,primitive,原始的な；未開の,main
787,787,unfamiliar,（～に）不慣れな（with）；（～に）（よく）知られていない（to）,main
788,788,subtle,微妙な；（気体などが）希薄な,main
789,789,plain,明らかな；平易な；飾りのない；率直な,main
790,790,marine,海の；船舶の,main
791,791,apparent,明白な；一見～らしい,main
792,792,reluctant,気が進まない，嫌がる（⇔ willing ⇒ 298）,main
793,793,temporary,一時的な（⇔ permanent ⇒ 690）,main
794,794,guilty,罪悪感のある；（～について）有罪の（of）,main
795,795,royal,王の,main
796,796,pure,純粋な；潔白な；まったくの,main
797,797,incredible,信じられない；すばらしい,main
798,798,eager,（～を）熱望して（for）；熱心な,main
799,799,adequate,十分な；適切な（⇔ inadequate 不適切な）,main
800,800,via,～経由で；～の媒介で,main
801,801,assess,を評価する；を査定する,main
802,802,approve,賛成する；を承認する,main
803,803,remark,と述べる；（～について）意見を述べる（on / upon）,main
804,804,pose,（危険）を引き起こす；（問題など）を提起する；ポーズをとる；（～を）装う（as）,main
805,805,yield,をもたらす；を（～に）譲る（to）；（～に）屈する（to）,main
806,806,exhibit,を示す，見せる；を展示する,main
807,807,distribute,を（～に）分配する（to）；〔受身形で〕分布する,main
808,808,command,を命じる；を指揮する；（景色）を見渡せる,main
809,809,occupy,（空間・時間）を占める；を占領する,main
810,810,pop,ひょいと動く；不意に現れる；ポンとはじける,main
811,811,pile,を積み重ねる；積み重なる,main
812,812,greet,に挨拶する；を迎える,main
813,813,apologize,（～に；～のことで）謝る（to；for）；弁明する,main
814,814,frustrate,をいら立たせる；（計画・希望など）を挫折させる,main
815,815,relieve,を和らげる；〔受身形で〕（...して）安心する（to do）；を解放する,main
816,816,derive,由来する；を引き出す；を推論する,main
817,817,deserve,に値する,main
818,818,peer,（～を）じっと見る（at / into）,main
819,819,defeat,を負かす（≒ beat）；を失敗させる,main
820,820,convert,を変える；を改宗［転向］させる；を交換する,main
821,821,wed,と結婚する；を（～と）結婚させる（to）,main
822,822,delight,を喜ばせる；（～を）大いに喜ぶ（in）,main
823,823,boost,を押し上げる；を増加させる,main
824,824,endure,に耐える（≒ put up with）；（に）持ちこたえる,main
825,825,correspond,一致する；（～に）相当する（to）；文通する,main
826,826,impose,を課す；を押しつける,main
827,827,rescue,を救う,main
828,828,resolve,を解決する；を決意する；を議決する,main
829,829,register,を記録する，登録する；（～に）登録する（for）,main
830,830,interrupt,を中断させる；（の）邪魔をする,main
831,831,rid,から（～を）取り除く，除去する（of）,main
832,832,prohibit,を禁止する,main
833,833,compose,を構成する；を創作する；を鎮静する,main
834,834,misunderstand,（を）誤解する,main
835,835,punish,を罰する；に損傷を与える,main
836,836,ruin,をだめにする；を破滅させる；破滅する,main
837,837,defend,を防御する；を弁護する,main
838,838,embrace,を受け入れる；（を）抱擁する；を包含する,main
839,839,modify,を修正する；を緩和する,main
840,840,qualify,（人）に資格を与える；資格がある,main
841,841,passion,情熱；熱中；激怒,main
842,842,enthusiasm,（～への）熱情，熱意（for）,main
843,843,phase,段階，局面；側面,main
844,844,mode,方式；気分；形態；流行,main
845,845,span,期間；範囲,main
846,846,gravity,重力，引力；重量；重大さ,main
847,847,orbit,軌道；（活動・勢力などの）範囲,main
848,848,asteroid,小惑星（≒ minor planet）；ヒトデ（＝ starfish）,main
849,849,core,核心；芯,main
850,850,soul,精神；魂，霊魂；生気,main
851,851,nerve,神経；〔～s〕神経過敏；（...する）度胸（to do）,main
852,852,infection,感染（症）,main
853,853,mall,【主に米】 モール，ショッピングセンター,main
854,854,grocery,〔～ies〕食料雑貨；食料雑貨店,main
855,855,humor,ユーモア；気分，機嫌；気質,main
856,856,instinct,本能；勘，直感；（自然に起こる）衝動,main
857,857,faith,（～への）信頼（in）；信仰（心）,main
858,858,courage,勇気,main
859,859,incentive,動機（づけ）；報奨金,main
860,860,prospect,見込み；〔～s〕（未来への）展望；有望な人,main
861,861,obstacle,（～に対する）障害（物）（to）,main
862,862,architecture,建築；建築様式；構造,main
863,863,stem,（草木の）茎，幹,main
864,864,illusion,錯覚，思い違い；幻想,main
865,865,discrimination,（～に対する）差別（against）；区別,main
866,866,shame,恥；残念なこと,main
867,867,drought,干ばつ；（慢性的な）不足,main
868,868,flavor,風味；特色,main
869,869,portion,部分；1人前；割り当て,main
870,870,recipe,調理法，レシピ；手順；秘訣,main
871,871,luxury,ぜいたく（品）；〔形容詞的に〕豪華な,main
872,872,chip,小片，破片；欠けた箇所；集積回路,main
873,873,ritual,儀式；（日常の）習慣的行為,main
874,874,sake,〔for the ～ ofで〕のために，の目的で；に免じて,main
875,875,prefecture,（日本の）県，府；（フランスなどの）県,main
876,876,council,（地方）議会；評議会；（公の）会議,main
877,877,administration,管理（部）；行政；政府（機関）,main
878,878,curriculum,教育課程，カリキュラム,main
879,879,precious,貴重な；高価な（≒ valuable）,main
880,880,generous,寛大な；気前のよい（⇔ stingy けちな）；豊富な,main
881,881,casual,何気ない；形式ばらない,main
882,882,optimistic,楽観的な（⇔ pessimistic ⇒ 1593）,main
883,883,rough,粗い；大まかな；乱暴な,main
884,884,unpleasant,不愉快な；不親切な，無礼な,main
885,885,Arctic,北極の（⇔ Antarctic 南極の）,main
886,886,ultimate,究極の,main
887,887,deaf,耳が聞こえない（≒ hard of hearing）,main
888,888,genuine,本物の（≒ authentic ⇒ 1580, real）；偽りのない,main
889,889,manual,体［手］を使う；手の；手動式,main
890,890,mechanical,機械の；機械的な,main
891,891,instant,即時の，すぐの；即席の,main
892,892,spare,余分の，予備の,main
893,893,immune,（～に対して）免疫を持つ（to）；（～を）免れた（from）,main
894,894,harsh,厳しい；（光・色・味などが）不快な,main
895,895,collective,集団の，共同の,main
896,896,inevitable,避けられない,main
897,897,profound,重大な；深い；難解な,main
898,898,steady,着実な，一定の；安定した,main
899,899,mature,成熟した（⇔ immature 未熟な）；熟した,main
900,900,likewise,同様に（≒ in the same way）,main
901,901,chase,（を）追跡する；（を）追求する,main
902,902,sue,を告訴する；（～を求めて）訴訟を起こす（for）,main
903,903,gaze,じっと見る,main
904,904,slip,滑る；滑り落ちる；そっと動く,main
905,905,load,に積む；に負わせる,main
906,906,overwhelm,を圧倒する；を（精神的に）打ちのめす,main
907,907,wander,歩き回る；それる；はぐれる,main
908,908,float,漂う，浮かぶ；を浮かべる,main
909,909,pour,を注ぐ；激しく降る；押し寄せる,main
910,910,substitute,を代わりに使う；（～の）代理をする（for）,main
911,911,pronounce,を発音する；を宣言する,main
912,912,shrink,縮む，縮小する；減少する；ひるむ,main
913,913,restore,を回復させる；を修復する,main
914,914,trigger,を引き起こす；のきっかけとなる,main
915,915,grab,をつかむ；を横取りする；を急いで食べる,main
916,916,retain,を保持する；を覚えている,main
917,917,reproduce,を複製する；を繁殖させる；繁殖する,main
918,918,bob,上下に動く；急に動く；を上下に動かす,main
919,919,entertain,を楽しませる；をもてなす,main
920,920,interfere,干渉する，介入する；邪魔する,main
921,921,cultivate,を養う；を耕す；を栽培する,main
922,922,underlie,の根底にある,main
923,923,anticipate,を予期する；楽しみに待つ,main
924,924,justify,を正当化する,main
925,925,regulate,を規制する；を調整する,main
926,926,scan,を走査［スキャン］する；をざっと見る；を注意深く調べる,main
927,927,classify,を分類する；を機密扱いにする,main
928,928,submit,を提出する；〔submit oneselfで〕（～に）従う（to）,main
929,929,pause,（一時的に）中止する；（一瞬）立ち止まる,main
930,930,lean,傾く；寄りかかる；をもたせかける,main
931,931,bump,ぶつかる；をぶつける,main
932,932,fold,を折り畳む；（両腕）を組む；（折り）畳める,main
933,933,hesitate,躊躇する，ためらう,main
934,934,pump,（液体・気体）をポンプで送り込む；をくみ出す；を注ぎ込む,main
935,935,mount,を据えつける；に着手する；（自転車など）に乗る；増える,main
936,936,exceed,を超える；に勝る,main
937,937,undergo,を経験する；（手術など）を受ける；に耐える,main
938,938,confront,に立ち向かう；（困難などが）に立ちはだかる,main
939,939,consult,（に）相談する；を参照する,main
940,940,fulfill,を実現させる；を果たす；を満たす,main
941,941,privilege,特権，特典,main
942,942,formation,形成；構成（物）；隊列,main
943,943,dimension,側面，局面；次元；寸法,main
944,944,neuron,ニューロン，神経単位,main
945,945,sensation,感覚；大評判,main
946,946,chart,図，グラフ；海図；ヒットチャート,main
947,947,geography,〔the ～〕地理；地理学,main
948,948,panel,（専門家の）一団；討論者一同；羽目板,main
949,949,semester,【主に米】 （2学期制の）学期,main
950,950,workforce,労働人口，総労働力；全従業員（数）,main
951,951,mill,製造工場；製粉所；粉ひき機,main
952,952,abuse,乱用；虐待,main
953,953,vice,（道徳上の）悪（⇔ virtue ⇒ 1078）；欠点,main
954,954,fate,運命；結末；最期,main
955,955,tragedy,悲劇（的な事態）（⇔ comedy 喜劇）,main
956,956,scenario,（予想される）筋書き，事態；脚本,main
957,957,allergy,アレルギー,main
958,958,wound,（銃弾・刃物などによる）傷；痛手,main
959,959,antibiotic,〔通例～s〕抗生物質,main
960,960,vaccine,ワクチン,main
961,961,metaphor,隠喩；比喩,main
962,962,folk,人々；〔～s〕皆さん；〔one's ～s〕家族,main
963,963,fare,（乗り物の）料金,main
964,964,transition,移り変わり；過渡期,main
965,965,maximum,最大限（⇔ minimum ⇒ 653）,main
966,966,galaxy,星雲，銀河；〔the G～〕銀河系,main
967,967,mineral,鉱物；ミネラル,main
968,968,skeleton,骨格；骨組み；概略,main
969,969,counterpart,相当する物［人］,main
970,970,stroke,脳卒中；（ボールを）打つこと；（雷などの）一撃,main
971,971,pedestrian,歩行者,main
972,972,trail,（野山などの）小道；跡；手がかり,main
973,973,ecology,生態学；生態系；環境保護,main
974,974,sibling,きょうだい（の1人）,main
975,975,ratio,比率,main
976,976,mixture,混合（物）,main
977,977,charm,魅力；お守り,main
978,978,ambition,（～に対する）願望，野望（for）；野心,main
979,979,prominent,卓越した；目立つ,main
980,980,radical,急進的な；根本的な,main
981,981,prompt,即座の，迅速な,main
982,982,informal,形式ばらない，略式の（⇔ formal 正式の）；（言葉が）くだけた,main
983,983,mutual,相互の；共通の,main
984,984,neutral,中立の；（特徴・表情などが）はっきりしない,main
985,985,alert,警戒して；敏速な,main
986,986,magnetic,磁気の；磁石の；人を引きつける,main
987,987,polar,極地の；電極の,main
988,988,fluent,流ちょうな,main
989,989,external,外部の（⇔ internal ⇒ 680）；対外的な,main
990,990,passive,受動的な；消極的な,main
991,991,awful,ひどい；嫌な；ものすごい,main
992,992,unrelated,無関係の；血縁関係がない,main
993,993,cruel,残酷な；むごい,main
994,994,fake,偽の；見せかけだけの,main
995,995,vulnerable,（攻撃などに）弱い，もろい；傷つきやすい,main
996,996,urgent,緊急の,main
997,997,spiritual,精神の（⇔ material ⇒ 73）；霊的な,main
998,998,modest,謙虚な（≒ humble）；適度な；質素な,main
999,999,keen,熱心な；鋭敏な；（感情・関心などが）強い,main
1000,1000,nonetheless,それにもかかわらず，それでもなお（≒ nevertheless）,main
1001,1001,negotiate,交渉する；を（交渉して）取り決める,main
1002,1002,grasp,を把握［理解］する；をしっかり握る,main
1003,1003,donate,を寄付する；（臓器・血液）を提供する,main
1004,1004,arrest,を逮捕する；を止める；（注意）を引く,main
1005,1005,crack,ひびが入る；にひびを入れる,main
1006,1006,tap,を軽くたたく；（液体）を出す；を盗聴する,main
1007,1007,split,を分割する；を分担する；分裂する,main
1008,1008,forecast,を予想［予測］する,main
1009,1009,exclude,を除外する（⇔include を含む）,main
1010,1010,overlook,を見落とす；を大目に見る；を見渡す,main
1011,1011,burst,破裂する；（～を）突然始める（into）,main
1012,1012,heal,（人・傷など）を治す；治る,main
1013,1013,forbid,を禁じる（⇔permit 許可する）,main
1014,1014,install,をインストールする；を設置する；を就任させる,main
1015,1015,diminish,を減らす；減少する（≒decrease）,main
1016,1016,cite,を引き合いに出す；を引用する,main
1017,1017,quote,を引用する；を引き合いに出す,main
1018,1018,dispute,に異議を唱える；（を）議論する,main
1019,1019,highlight,を目立たせる、強調する,main
1020,1020,distract,（注意など）をそらす,main
1021,1021,cheat,をだます；不正をする,main
1022,1022,foster,をはぐくむ；を養育する；を心に抱く,main
1023,1023,obey,に従う；に服従する,main
1024,1024,bend,を曲げる；を屈服させる；曲がる,main
1025,1025,deprive,から（権利などを）奪う,main
1026,1026,govern,（を）統治する、支配する,main
1027,1027,log,〔log onで〕ログオンする；を記録する,main
1028,1028,transmit,を伝える；（電波・信号など）を送る,main
1029,1029,bully,をいじめる；を脅す,main
1030,1030,leap,跳ぶ；さっと動く；急上昇する,main
1031,1031,astonish,を驚かす,main
1032,1032,thrill,をぞくぞくさせる；わくわくする,main
1033,1033,nod,うなずく；会釈する；うとうとする,main
1034,1034,bow,おじぎする；屈服する,main
1035,1035,blend,を混ぜる；を調和させる；（～に）溶け込む（into）,main
1036,1036,complicate,を複雑にする,main
1037,1037,pitch,を投げる；倒れる；縦揺れする,main
1038,1038,persist,続く；固執する,main
1039,1039,dedicate,をささげる；を献呈する,main
1040,1040,equip,に備えつける,main
1041,1041,premise,前提；〔～s〕（建物を含めた）構内、敷地,main
1042,1042,input,入力（情報）、投入；（情報・時間などの）提供,main
1043,1043,merit,利点（⇔demerit 欠点）；功績；真価,main
1044,1044,sympathy,同情；（～に対する）共感（with/for）,main
1045,1045,compliment,賛辞；表敬,main
1046,1046,infrastructure,インフラ、基本的施設；（経済）基盤,main
1047,1047,ray,光線；ひらめき、一筋の光明,main
1048,1048,distress,苦悩；苦痛；困窮,main
1049,1049,joint,関節；接合（部）,main
1050,1050,expedition,遠征（隊）、探検（隊）,main
1051,1051,adolescent,青年；青年期の,main
1052,1052,shade,（日）陰；色合い；日よけ；微妙な相違,main
1053,1053,jury,陪審（員団）；審査員団,main
1054,1054,ethic,倫理、道徳；〔～s〕倫理［道徳］規範,main
1055,1055,penalty,（刑）罰；罰金；ペナルティー,main
1056,1056,faculty,能力、機能；学部；教授陣,main
1057,1057,scheme,計画（≒plan）；体系；陰謀,main
1058,1058,nutrition,栄養（の摂取）,main
1059,1059,particle,（微）粒子；ほんのわずか,main
1060,1060,molecule,分子；微粒子,main
1061,1061,nationality,国籍；国民；国民性,main
1062,1062,poll,世論調査；投票（数）,main
1063,1063,clinic,診療所、クリニック；（病院内の）～科,main
1064,1064,dementia,認知症,main
1065,1065,fatigue,疲労（≒exhaustion）,main
1066,1066,dilemma,ジレンマ、板ばさみ,main
1067,1067,queue,【英】（順番を待つ）列,main
1068,1068,curve,（道路などの）カーブ；曲線,main
1069,1069,narrative,物語、話；（小説の）叙述部分、地の文,main
1070,1070,fingerprint,指紋,main
1071,1071,file,ファイル；（書類の）とじ込み,main
1072,1072,wilderness,荒野；（庭・町などの）放置された部分,main
1073,1073,pesticide,殺虫剤；除草剤（≒herbicide）,main
1074,1074,panic,パニック（状態）；狼狽,main
1075,1075,fabric,織物、布（地）；構造,main
1076,1076,fantasy,空想；幻想；幻想的作品,main
1077,1077,fancy,（気まぐれな）好み；空想；思いつき,main
1078,1078,virtue,美徳（⇔vice 悪）；長所；効能,main
1079,1079,grateful,感謝している,main
1080,1080,valid,妥当な；有効な,main
1081,1081,elaborate,入念な；凝った,main
1082,1082,moderate,適度な；穏健な,main
1083,1083,dynamic,活動的な、精力的な；動的な（⇔static 静的な）,main
1084,1084,brave,勇敢な（⇔cowardly 臆病な）；見事な,main
1085,1085,brilliant,すばらしい；才能にあふれた；きらめく,main
1086,1086,tremendous,途方もない、莫大な；すばらしい,main
1087,1087,oral,口頭の,main
1088,1088,innocent,無罪の（⇔guilty 有罪の）；無邪気な；無知の,main
1089,1089,subsequent,その後の,main
1090,1090,shallow,浅い（⇔deep 深い）；浅薄な,main
1091,1091,indifferent,無関心な（≒uninterested）,main
1092,1092,inferior,より劣った（⇔superior よりすぐれた）,main
1093,1093,awkward,気まずい；ぎこちない；厄介な,main
1094,1094,obese,肥満した,main
1095,1095,pregnant,妊娠した；（～で）満ちている（with）,main
1096,1096,intimate,親密な；密接な,main
1097,1097,medieval,中世の；時代遅れの,main
1098,1098,sacred,神聖な（≒holy）；宗教的な；厳粛な,main
1099,1099,simultaneously,（～と）同時に（with）；一斉に,main
1100,1100,versus,〔A ～ Bで〕A対B；AかBか,main
1101,1101,proceed,進む，進行する；（～を）続行する（with）,main
1102,1102,orient,（人）を（環境などに）慣らす（to）；〔受身形で〕（関心などが）（～に）向いている（to / toward）,main
1103,1103,surf,（インターネット上の情報など）を見て回る；サーフィンをする,main
1104,1104,filter,をろ過する；を取り除く,main
1105,1105,bind,を縛る；を束縛する；を結び付ける,main
1106,1106,resort,（好ましくない手段に）訴える，頼る（to）,main
1107,1107,reinforce,を強化する；を補強する,main
1108,1108,accumulate,を蓄積する，集める；積もる,main
1109,1109,bet,と確信する，断言する；（金などを）かける,main
1110,1110,advocate,を主張する；を擁護する,main
1111,1111,constitute,を構成する；になる，に等しい,main
1112,1112,undertake,を引き受ける；を保証する；に着手する,main
1113,1113,grip,を握る；をとらえる,main
1114,1114,dismiss,（意見など）を退ける；を解雇する,main
1115,1115,fade,薄れる；衰える,main
1116,1116,conceal,を隠す（≒ hide）；を秘密にする（⇔uncover ⇒ 1236）,main
1117,1117,chew,（を）かむ；をかみ砕く,main
1118,1118,swallow,（を）飲み込む；をうのみにする；に耐える,main
1119,1119,seal,を密閉する；に封をする,main
1120,1120,migrate,移住する；（鳥などが）渡る,main
1121,1121,exaggerate,（を）誇張する；を強調する,main
1122,1122,accuse,を非難する；を告訴する,main
1123,1123,vanish,消える（≒ disappear）,main
1124,1124,polish,を磨く；を洗練させる,main
1125,1125,wipe,を拭く；を拭き取る；を消し去る,main
1126,1126,sweep,（を）掃く；を一掃する；さっと通過する,main
1127,1127,mislead,を誤解させる，欺く；（人）を間違った方向に導く,main
1128,1128,spoil,を台無しにする；を甘やかす；だめになる,main
1129,1129,compound,を悪化させる；を合成する；を混合する,main
1130,1130,explode,爆発する；急増する；を論破する,main
1131,1131,disgust,をむかつかせる；に愛想を尽かせる,main
1132,1132,commute,通勤［通学］する,main
1133,1133,decorate,を装飾する,main
1134,1134,postpone,を延期する（≒ put off）,main
1135,1135,cease,をやめる；終わる,main
1136,1136,compromise,妥協する；を危うくする,main
1137,1137,elect,を選出する,main
1138,1138,extract,を取り［搾り］出す；を抜粋する,main
1139,1139,inherit,を受け継ぐ；を相続する,main
1140,1140,rear,（人・動物・植物）を育てる（≒ raise）,main
1141,1141,empathy,感情移入，共感,main
